code,state,biden_pct,trump_pct,margin,winner
AL,Alabama,36.57,62.03,-25.46,Trump
AK,Alaska,42.77,52.83,-10.059999999999995,Trump
AZ,Arizona,49.36,49.06,0.29999999999999716,Biden
AR,Arkansas,34.78,62.4,-27.619999999999997,Trump
CA,California,63.48,34.32,29.159999999999997,Biden
CO,Colorado,55.4,41.9,13.5,Biden
CT,Connecticut,59.24,39.21,20.03,Biden
DE,Delaware,58.78,39.8,18.980000000000004,Biden
DC,District of Columbia,92.15,5.4,86.75,Biden
FL,Florida,47.86,51.22,-3.3599999999999994,Trump
GA,Georgia,49.5,49.26,0.240000000000002,Biden
HI,Hawaii,63.73,34.27,29.459999999999994,Biden
ID,Idaho,33.07,63.84,-30.770000000000003,Trump
IL,Illinois,57.54,40.55,16.990000000000002,Biden
IN,Indiana,40.96,57.02,-16.060000000000002,Trump
IA,Iowa,44.89,53.09,-8.200000000000003,Trump
KS,Kansas,41.61,56.18,-14.57,Trump
KY,Kentucky,36.15,62.09,-25.940000000000005,Trump
LA,Louisiana,39.85,58.46,-18.61,Trump
ME,Maine,53.09,44.02,9.07,Biden
MD,Maryland,65.36,32.15,33.21,Biden
MA,Massachusetts,65.6,32.14,33.459999999999994,Biden
MI,Michigan,50.62,47.84,2.779999999999994,Biden
MN,Minnesota,52.4,45.28,7.119999999999997,Biden
MS,Mississippi,41.06,57.6,-16.54,Trump
MO,Missouri,41.41,56.8,-15.39,Trump
MT,Montana,40.55,56.92,-16.370000000000005,Trump
NE,Nebraska,39.21,58.2,-18.990000000000002,Trump
NV,Nevada,50.06,47.67,2.3900000000000006,Biden
NH,New Hampshire,52.71,45.36,7.350000000000001,Biden
NJ,New Jersey,57.33,41.4,15.93,Biden
NM,New Mexico,54.29,43.5,10.79,Biden
NY,New York,60.86,37.75,23.11,Biden
NC,North Carolina,48.59,49.93,-1.3399999999999963,Trump
ND,North Dakota,31.76,65.11,-33.349999999999994,Trump
OH,Ohio,45.24,53.27,-8.030000000000001,Trump
OK,Oklahoma,32.29,65.37,-33.080000000000005,Trump
OR,Oregon,56.45,40.37,16.080000000000005,Biden
PA,Pennsylvania,50.01,48.84,1.1699999999999946,Biden
RI,Rhode Island,59.39,38.61,20.78,Biden
SC,South Carolina,43.43,55.11,-11.68,Trump
SD,South Dakota,35.61,61.77,-26.160000000000004,Trump
TN,Tennessee,37.45,60.66,-23.209999999999994,Trump
TX,Texas,46.48,52.06,-5.580000000000005,Trump
UT,Utah,37.65,58.13,-20.480000000000004,Trump
VT,Vermont,66.09,30.67,35.42,Biden
VA,Virginia,54.11,44.0,10.11,Biden
WA,Washington,58.0,38.77,19.229999999999997,Biden
WV,West Virginia,29.7,68.63,-38.92999999999999,Trump
WI,Wisconsin,49.45,48.82,0.6300000000000026,Biden
WY,Wyoming,26.55,69.94,-43.39,Trump
